Perfume,Marca,Acordes,Notas
$,D.S.& Durga,"Almizclado, Nardos, Animálico, Floral blanco, Cuero, Atalcado, Avainillado, Dulce, Ámbar","Almizcle, Nardos, Haba tonka, Cuero, Styrax"
0,Blood Concept,"Cuero, Metálico, Afrutados, Ahumado, Amaderado","Alcaravea, Abedul, Cuero, Rosa, Cedro de virginia, Cyperus esculentus, Metallic notes, Frambuesa"
000,Le Monde Gourmand,"Amaderado, Florales, Cítrico, Atalcado, Fresco especiado","Fresia, Bergamota, Lirio de agua, Sandal"
001 Orange Blossom Petitgrain Bergamot,Bon Parfumeur,"Cítrico, Floral blanco, Aromático, Fresco especiado, Verde","Almizcle, Flor de azahar del naranjo, Jazmín, Mandarin orange, Lavanda, Romero, Neroli, Cidra, Petitgrain, Bergamota"
001 Woman X Lladró,Loewe,"Almizclado, Florales, Cítrico, Atalcado, Avainillado, Aromático, Dulce, Ámbar, Floral blanco, Nueces","Lino, Almizcle, Haba tonka, Bergamota, Jazmín"
002 Neroli Jasmin Ambre Blanc,Bon Parfumeur,"Floral blanco, Fresco, Cítrico, Florales, Fresco especiado","Bergamota de sicilia, Almizcle, Peonía, Jazmín, Ámbar blanco, Lirio de los valles (muguete), Neroli"
002 Sense Of Glam,Zara,"Rosas, Afrutados, Avainillado, Tropical, Fresco","Rosa, Litchi, Vainilla"
003 Cotton Kiss,Zara,"Iris, Almizclado, Florales, Atalcado, Afrutados","Ambretón, Pera, Iris"
003 Yuzu Feuilles De Violette Vetiver,Bon Parfumeur,"Cítrico, Verde, Fresco especiado, Aromático, Ozónico","Resina de elemí, Almizcle, Hojas de violeta, Jazmín, Vetiver, Neroli, Bergamota, Yuzu"
"003 Yuzu Feuilles De Violette, Vétiver",Bon Parfumeur,"Cítrico, Aromático, Verde, Fresco especiado, Ozónico, Acuático, Amaderado, Floral blanco, Florales","Yuzu, Bergamota, Hojas de violeta, Jazmín, Neroli, Resina de elemí, Vetiver, Almizcle"
004 Gin Mandarine Musc,Bon Parfumeur,"Cítrico, Aromático, Fresco especiado, Cálido especiado, Tabaco","Tabaco, Nuez moscada, Limón italiano (lima italiana), Haba tonka, Mandarin orange, Hojas de pachulí de indonesia, Jengibre, Bergamota, Almizcle blanco, Juniper berries"
004 Me My Selfie,Zara,"Almendrado, Dulce, Florales, Avainillado, Nueces","Haba tonka, Almendro, Magnolia"
005 Feels Like Winter,Zara,"Avainillado, Atalcado, Violeta, Floral blanco, Florales","Jazmín, Vainilla, Violeta"
006 Glittery Mood,Zara,"Afrutados, Florales, Fresco, Especiado suave, Rosas","Peonía, Almizcle, Grosellas negras"
007 Feels Like Summer,Zara,"Cítrico, Afrutados, Atalcado, Amaderado, Dulce","Albaricoque, Sándalo, Naranja dulce"
007 Royal Patchouli,Ajmal,"Pachulí, Amaderado, Avainillado, Ámbar, Atalcado","Almizcle, Ylang-ylang, Rosa, Pachulí, Jazmín, Vainilla, Neroli, Ámbar"
015,Avon,"Verde, Cítrico, Fresco especiado, Aromático, Amaderado","Almizcle, Galbanum, Moss, Jazmín, Sándalo, Vetiver, Geranio, Albahaca, Lavanda, Cedro, Bergamota, Apio"
015 London,Avon,"Amaderado, Aromático, Cítrico, Ozónico, Almizclado","Almizcle, Walnut, Moss, Lavanda, Ozonic notes, Petitgrain, Pino, Bergamota, Ámbar, Cedro"
015 Miami Nights,Avon,"Afrutados, Dulce, Amaderado, Cítrico, Fresco","Almizcle, Esencia de cedro, Haba tonka, Naranja amarga, Sándalo, Flor de manzana, Rhubarb, Pimienta rosa, Piña"
015 Vegas,Avon,"Cítrico, Almizclado, Aromático, Fresco especiado, Atalcado","Almizcle, Geranio, Limón italiano (lima italiana)"
01 Divina,Divina Terra,"Rosas, Amaderado, Aromático, Afrutados, Avainillado","Rosa, Hojas de uvas, Jazmín, Vainilla, Hojas de roble, Lirio de los valles (muguete), Grosellas negras, Musgo de roble, Cedro"
01 Le Maroc Pour Elle,Andy Tauer,"Amaderado, Floral blanco, Ámbar, Balsámico, Rosas","Resina de madera, Pachulí, Jazmín, Sándalo, Cedro del atlas, Mandarin orange, Lavanda, Rosa de marruecos"
01 Red Vanilla,Zara,"Florales, Afrutados, Dulce, Fresco, Iris","Peonía roja, Vainilla, Iris, Mandarina, Frambuesa"
02 Fioraie,Divina Terra,"Musgoso, Terrosos, Floral blanco, Dulce, Rosas","Almizcle, Rosa, Pachulí, Jazmín, Ciruela, Styrax, Passionfruit, Mandarin orange, Musgo de roble, Miel, Bergamota, Ámbar"
02 L Air Du Desert Marocain,Andy Tauer,"Amaderado, Aromático, Ámbar, Fresco especiado, Terrosos","Comino, Pachulí, Jazmín, Ámbar, Musgo de roble, Vetiver, Lavanda, Abedul, Petitgrain, Geranio, Ládano, Coriander, Cedro"
02 Sweet Vanilla,Zara,"Afrutados, Atalcado, Avainillado, Amaderado, Dulce","Almizcle, Chestnut, Almendro, Vainilla, Caramelo, Cedro"
03 Caipirissima,Zara,"Floral blanco, Cítrico, Afrutados, Atalcado, Avainillado","Almizcle, Gardenia, Jazmín, Ámbar, Vainilla, Water fruit, Sándalo, Grosellas negras, Limón (lima ácida), Bergamota, Cereza"
03 Fortuna,Divina Terra,"Fresco especiado, Atalcado, Avainillado, Rosas, Aromático","Almizcle, Heliotropo, Rosa, Jazmín, Bergamota, Iris, Vanilla bean, Madera de oud, Geranio, Ámbar, Flor de vainilla"
03 Lonestar Memories,Andy Tauer,"Ámbar, Aromático, Cuero, Amaderado, Cálido especiado","Semillas de zanahoria, Cuero, Jazmín, Haba tonka, Sándalo, Vetiver, Mirra, Esclarea, Geranio, Ládano"
03 Nuit,Zara,"Avainillado, Atalcado, Ámbar, Almizclado, Iris","Melocotón (durazno), Almizcle, Vainilla, Notas amaderadas, Iris, Lirio de los valles (muguete), Bergamota, Ámbar"
04 In Amore,Divina Terra,"Cálido especiado, Oud, Ámbar, Metálico, Floral amarillo","Almizcle, Ylang-ylang, Azafrán, Pachulí, Jazmín, Musgo de roble, Madera de oud, Ámbar, Magnolia"
04 Pure Selection,Zara,"Floral blanco, Florales, Ámbar, Fresco, Verde","Gardenia, Flor de azahar del naranjo, Benjuí, Jazmín sambac, Lirio de los valles (muguete), Orris, Hiedra, Magnolia, Ambroxan"
04 Reverie Au Jardin,Andy Tauer,"Amaderado, Aromático, Fresco especiado, Ámbar, Lavanda","Raíz de lirio, Galbanum, Haba tonka, Abeto balsámico, Vainilla, Olíbano, Vetiver, Sándalo, Lavanda, Musgo de roble, Bergamota, Resins, Ámbar, Rosa de bulgaria (rosa damascena de bulgaria), Cedro"
04 Violet Blossom,Zara,"Almendrado, Avainillado, Florales, Nueces, Afrutados","Heliotropo, Almendro, Vainilla, Flor de cerezo, Magnolia"
05 Incense Extreme,Andy Tauer,"Amaderado, Ámbar, Ahumado, Aromático, Balsámico","Raíz de lirio, Incense, Notas amaderadas, Petitgrain, Ámbar, Coriander, Cedro"
05 Terra,Divina Terra,"Ámbar, Fresco especiado, Balsámico, Amaderado, Cálido especiado","Opoponax, Pachulí, Pimienta, Sándalo, Ládano, Madera de oud, Orégano, Bergamota, Ámbar"
05 Woman Gold,Zara,"Florales, Dulce, Floral amarillo, Caramelo, Afrutados","Melocotón (durazno), Almizcle, Jazmín, Caramelo, Spicy notes, Fresia, Ylang ylang, Frutas, Notas dulces, Floral bouquet"
06 Black Platinum,Banana Republic,"Floral blanco, Cuero, Animálico, Ámbar, Cítrico","Cuero, Flor de azahar del naranjo, Moss, Pachulí, Jazmín, Cactus, Limón (lima ácida), Pimienta rosa, Ámbar"
06 Incense Rose,Andy Tauer,"Ámbar, Cálido especiado, Amaderado, Cítrico, Balsámico","Raíz de lirio, Castóreo, Clementina, Cedro de texas, Pachulí, Incense, Vetiver, Cardamomo, Mirra, Bergamota, Resins, Ládano, Rosa de bulgaria (rosa damascena de bulgaria)"
06 Vita,Divina Terra,"Cálido especiado, Cuero, Atalcado, Ámbar, Almizclado","Almizcle, Azafrán, Jazmín, Musgo de roble, Sándalo, Iris, Abedul, Ámbar"
07 Intesa,Divina Terra,"Amaderado, Aromático, Atalcado, Terrosos, Cálido especiado","Almizcle, Canela, Rosa, Pachulí, Jazmín, Sándalo, Toronja (pomelo), Vetiver, Lavanda, Iris, Bergamota, Cedro"
07 Vetiver Dance,Andy Tauer,"Aromático, Amaderado, Ámbar, Fresco especiado, Cítrico","Haba tonka, Vetiver, Toronja (pomelo), Lirio de los valles (muguete), Esclarea, Ámbar gris, Pimienta negra, Ládano, Rosa de bulgaria (rosa damascena de bulgaria), Cedro"
08 Une Rose Chypree,Andy Tauer,"Fresco especiado, Aromático, Rosas, Cítrico, Cálido especiado","Canela, Hoja de laurel, Clementina, Rosa, Pachulí, Vainilla, Vetiver, Ládano, Musgo de roble, Limón (lima ácida), Bergamota, Geranio bourbon, Rosa de bulgaria (rosa damascena de bulgaria)"
0 9,Byron Parfums,"Cálido especiado, Amaderado, Ámbar, Almendrado, Atalcado","Azafrán, Almendro, Spicy notes, Sándalo, Vainilla, Bergamota, Ámbar"
09   Coup De Foudre Quai Voltaire,Solférino Paris,"Ámbar, Cálido especiado, Avainillado, Canela, Aromático, Amaderado, Balsámico, Dulce, Pachulí, Cítrico","Canela de ceylan, Bergamota, Elemí, Ámbar, Benjuí de siam, Jazmín, Haba tonka, Pachulí, Sándalo"
09 Orange Star,Andy Tauer,"Cítrico, Ámbar, Dulce, Floral blanco, Animálico","Hierba de limón, Flor de azahar del naranjo, Clementina, Haba tonka, Vainilla, Mandarin orange, Ámbar gris"
09 Tesoro Mio,Divina Terra,"Almizclado, Atalcado, Iris, Cuero, Florales","Cuero, Benjuí, Lirio de los valles (muguete), Cereza, Iris, Abedul, Almizcle blanco, Ámbar, Magnolia, Cumarina"
0 Absolute Suede,Blood Concept,"Cuero, Afrutados, Ámbar, Aromático, Dulce","Suede, Cuero, Styrax, Ciruela, Menta, Tomillo, Café, Incense, Cypriol oil or nagarmotha, Romero, Ámbar, Frambuesa"
1,Jousset Parfums,"Café, Cálido especiado, Verde, Tabaco, Afrutados","Tabaco, Tea, Café, Menta, Kiwi, Melón"
1000,Jean Patou,"Florales, Amaderado, Floral blanco, Rosas, Afrutados","Oak, Rosa, Pachulí, Jazmín, Albaricoque, Sándalo, Osmanto (olivo oloroso), Lirio de los valles (muguete), Violeta, Geranio"
1000 Kisses Deep,B Never Too Busy To Be Beautiful,"Cítrico, Ámbar, Afrutados, Florales, Almizclado","Almizcle, Limón de amalfi, Myrhh, Osmanto (olivo oloroso), Mandarin orange, Ládano francés"
1000 Miglia,Chopard,"Amaderado, Aromático, Fresco especiado, Lavanda, Violeta","Cuero, Café, Notas amaderadas, Lavanda, Asfalto, Hierba verde, Violeta, Bergamota, Ámbar, Juniper berries"
1000 Miglia Chrono,Chopard,"Ámbar, Cálido especiado, Lavanda, Aromático, Asfalto","Myrhh, Spices, Lavanda, Asfalto, Ámbar"
1000 Miglia Extreme,Chopard,"Asfalto, Cuero, Lavanda, Amaderado, Cálido especiado","Cuero, Lavanda, Asfalto, Cedro"
1001,Nobile 1942,"Cálido especiado, Amaderado, Rosas, Atalcado, Cítrico","Almizcle, Papyrus, Red tea, Azafrán, Pachulí, Elemí, Jazmín, Rosa turca, Sándalo, Vainilla, Iris, Turmeric, Pimienta rosa, Jengibre, Bergamota, Ámbar"
1001,Vertus,"Cálido especiado, Amaderado, Atalcado, Cítrico, Aromático","Damask rose, Cardamomo, Jengibre, Mimosa, Bergamota, Magnolia, Almizcle, Canela, Azafrán, Lime, Violeta, Musgo de roble, Ámbar, Madera de cachemira, Vainilla, Vetiver, Clavel, Orris, Pachulí, Nardos, Sándalo, Cedro"
1001 Night,Arabian Oud,"Amaderado, Cítrico, Cálido especiado, Atalcado, Almizclado, Florales, Verde, Fresco especiado","Notas especiadas, Almizcle blanco, Notas amaderadas, Fresia, Sándalo, Hierba limón (zacate limón), Sábila, Naranja, Mandarina, Vainilla"
1001 Ouds,Goutal,"Amaderado, Oud, Ámbar, Cuero, Cálido especiado","Papyrus, Madera de gaiac, Myrhh, Rosa, Pimento, Abedul, Madera de oud"
100% Passion Man,Abercrombie & Fitch,"Fresco especiado, Ámbar, Cítrico, Cálido especiado, Animálico","Mandarina, Pimienta, Ámbar"
100% Passion Woman,Abercrombie & Fitch,"Floral blanco, Ámbar, Dulce, Cítrico, Afrutados, Animálico, Jabonoso","Pera, Flor de azahar del naranjo, Ámbar"
10 0 Zara,Zara,"Acuático, Cítrico, Verde, Amaderado, Fresco","Acordes verdes, Nuez moscada, Watery notes, Pachulí, Jazmín, Mandarin orange, Violeta, Notas amaderadas, Bergamota, Ámbar"
10 10 Am In Sicilia,Kenzo,"Cítrico, Amaderado, Florales, Aromático, Fresco especiado","Peonía, Toronja (pomelo), Vetiver, Fresia, Mandarin orange, Cedro de virginia, Higuera, Bergamota"
101 Rose Sweet Pea White Cedar,Bon Parfumeur,"Rosas, Florales, Floral blanco, Amaderado, Cálido especiado","Almizcle, Pachulí, Rosa turca, Sweet pea, Lavanda, Lirio de los valles (muguete), Cardamomo, Ámbar cristal, Bergamota, Extracto de cedro blanco"
102 Tea Cardamom Mimosa,Bon Parfumeur,"Cítrico, Verde, Aromático, Cálido especiado, Fresco especiado","Almizcle, Moss, Tea, Jazmín, Cardamomo, Violeta, Mimosa, Bergamota, Coriander"
103,Scentbar,"Dulce, Nueces, Avainillado, Almendrado, Cítrico","Almendra dulce, Avellana, Rosa, Lila, Haba tonka, Lirio de los valles (muguete), Ámbar gris, Cotton candy, Naranja dulce"
103 Tiare Flower Jasmine Hibiscus,Bon Parfumeur,"Floral blanco, Florales, Cítrico, Tropical, Almizclado","Flor de tiaré, Almizcle, Frangipani, Hibiscus, Arena, Vainilla, Neroli, Bergamota, Broom, Jazmín sambac"
104 Orange Verte Jacynthe Lierre,Bon Parfumeur,"Verde, Aromático, Balsámico, Acuático, Amaderado","Mastic or lentisque, Galbanum, Watery notes, Pachulí, Jazmín, Naranja amarga, Hyacinth, Vetiver, Cardamomo, Ámbar"
104 Terra Hedera,Bon Parfumeur,"Aromático, Verde, Marino, Florales, Fresco especiado, Ámbar, Cálido especiado, Balsámico, Amaderado, Terrosos","Gálbano, Naranja amarga, Cardamomo, Resina almáciga del lentisco, Notas acuáticas, Jacinto, Incienso, Jazmín, Ámbar, Pachulí, Vetiver"
106,Scentbar,"Cítrico, Dulce, Coco, Cálido especiado, Amaderado","Almizcle, Ron, Ylang-ylang, Jazmín, Lime, Haba tonka, Notas amaderadas, Mandarin orange, Coco, Jengibre, Grass, Bergamota"
106 Damascena Rose Davana Vanilla,Bon Parfumeur,"Rosas, Avainillado, Almizclado, Especiado suave, Aromático","Almizcle, Vainilla, Damask rose, Davana, Pimienta rosa"
107,Scentbar,"Dulce, Almendrado, Especiado suave, Afrutados, Avainillado","Anise, Alcaravea, Acordes verdes, Fresa, Acacia negra, Licorice, Sándalo, Palo de rosa, Mandarin orange, Almendra amarga, Ámbar gris, Musgo de roble, Limón (lima ácida), Jazmín sambac, Magnolia"
107 Nappa Tuberosa,Bon Parfumeur,"Amaderado, Nardos, Cuero, Almizclado, Floral blanco, Atalcado, Floral amarillo, Cálido especiado, Verde, Animálico","Azafrán, Bergamota, Nardos, Ylang-ylang, Gamuza, Cachemira, Papiro de egipto, Pachulí"
10 A.M. Flirt,Kierin,"Amaderado, Floral blanco, Afrutados, Dulce, Almizclado, Ámbar, Lactónico, Balsámico","Higo, Gardenia, Madera de cachemira, Sándalo, Vetiver"
10 Bellezza,Divina Terra,"Amaderado, Almizclado, Floral blanco, Pachulí, Terrosos","Medlar, Flor de azahar del naranjo, Frangipani, Pachulí, Musgo de roble, Cedro, Té verde, Vetiver de haití, Davana, Angélica, Ámbar gris, Ron, Almizcle blanco, Jazmín sambac, Cumarina"
10 Une Rose Vermeille,Andy Tauer,"Rosas, Afrutados, Dulce, Cítrico, Avainillado","Vanille, Limón de amalfi, Rosa, Haba tonka, Sándalo, Lavanda, Violeta, Bergamota, Ámbar, Frambuesa"
1101,Queen B,"Cálido especiado, Ámbar, Cítrico, Fresco, Almizclado","Notas orientales, Cítricos, Notas especiadas"
11 0 Zara,Zara,"Almizclado, Especiado suave, Afrutados, Cálido especiado, Cítrico","Almizcle, Manzana, Lemon zest, Pachulí, Spices, Vainilla, Geranio, Cedro, Pimienta rosa, Ámbar, Aromatic spices"
11 Corso Vittorio Emanuele Milano,Zara,"Florales, Fresco, Atalcado, Violeta, Amaderado","Manzana, Peonía, Naranja brasileña, Sándalo, Violeta"
125Th Bloom,Vilhelm Parfumerie,"Cuero, Cálido especiado, Amaderado, Rosas, Animálico","Cuero, Azafrán, Rosa, Ebony, Angélica, Violeta"
125 Years Your Companion For Life,Victorinox Swiss Army,"Verde, Cálido especiado, Aromático, Fresco especiado, Cacao","Heno, Cacao pod, Haba tonka, Toronja (pomelo), Cardamomo, Larch"
1270,Frapin,"Dulce, Afrutados, Amaderado, Amielado, Avainillado","Piña, Madera de gaiac, Naranja, Haba tonka, Café, Spices, Vainilla, Miel blanca, Flores, Flor de lima, Avellana, Notas amaderadas, Resin, Cacao, Frutas secas, Ciruela pasa"
1270 Extreme,Frapin,"Amaderado, Afrutados, Dulce, Avainillado, Aromático","Piña, Resina de elemí, Madera de gaiac, Manzana, Rosa, Pachulí, Haba tonka, Vainilla, Vid, Bergamota, Jazmín sambac, Cedro"
1270 Extrême,Frapin,"Amaderado, Afrutados, Dulce, Avainillado, Aromático, Fresco, Floral blanco, Verde, Balsámico, Tropical","Piña, Manzana, Resina de elemí, Bergamota, Cedro, Jazmín sambac (sampaguita), Vid, Rosa, Haba tonka, Vainilla, Madera de gaiac, Pachulí"
12 Eau D Epices,Andy Tauer,"Cálido especiado, Ámbar, Aromático, Floral blanco, Cítrico","Canela, Raíz de lirio, Ládano francés, Jazmín, Haba tonka, Incense, Clavo, Vetyver, Mandarin orange, Cardamomo, Flor de azahar africana, Ámbar, Coriander"
138 Santorini,Michael Malul London,"Cítrico, Amaderado, Fresco especiado, Afrutados, Atalcado","Nuez moscada, Manzana, Pachulí, Jazmín, Sándalo, Toronja (pomelo), Mandarin orange, Lavanda, Ámbar"
139 Spice,Michael Malul London,"Lavanda, Ozónico, Acuático, Fresco especiado, Fresco","Pachulí, Jazmín, Salvia, Sándalo, Lavanda, Melón, Bergamota, Ámbar"
140 Blue,Michael Malul London,"Cítrico, Amaderado, Afrutados, Fresco, Fresco especiado","Almizcle, Manzana, Pachulí, Ciruela, Ámbar, Sándalo, Naranja sanguina, Lavanda, Melón, Pimienta negra, Neroli, Geranio, Pomelo, Cedro"
1445,Castle Forbes,"Aromático, Lavanda, Amaderado, Cálido especiado, Cítrico","Cloves, Tarragon, Pachulí, Vetiver, Lavanda, Limón (lima ácida), Petitgrain"
144 Bloom,Michael Malul London,"Florales, Fresco, Almizclado, Afrutados, Rosas","Almizcle, Peonía, Lirio, Rosa, Jazmín, Albaricoque, Sándalo, Pera, Grosellas negras, Ámbar, Frambuesa"
1472 La Divina Commedia,Histoires De Parfums,"Ámbar, Cálido especiado, Floral blanco, Floral amarillo, Amaderado","Canela, Ylang-ylang, Benjuí, Jazmín, Artemisia, Olíbano, Solar notes, Ron, Ámbar"
14 Noontide Petals,Andy Tauer,"Aldehídico, Amaderado, Fresco especiado, Ámbar, Aromático","Ylang-ylang, Rosa, Styrax, Jazmín, Pachulí, Nardos, Vainilla, Olíbano, Vetiver, Sándalo, Bergamota, Iris, Aldehídos, Geranio bourbon"
150 Parfum,Profumi Del Forte,"Amaderado, Avainillado, Ámbar, Cítrico, Atalcado","Vanille, Almizcle, Hojas de violeta, Naranja, Pachulí, Haba tonka, Sándalo, Cedro de virginia, Bergamota, Ámbar, Ládano francés"
1538 Rheims,D.S.& Durga,"Almizclado, Atalcado, Iris, Terrosos, Pachulí, Violeta, Amaderado","Almizcle, Iris, Pachulí, Jengibre, Azucena"
154 Cologne,Jo Malone London,"Fresco especiado, Aromático, Cítrico, Amaderado, Lavanda","Almizcle, Nuez moscada, Pachulí, Vainilla, Toronja (pomelo), Vetiver, Mandarin orange, Lavanda, Albahaca, Bergamota"
160,Molinard,"Amaderado, Florales, Verde, Fresco, Floral blanco","Cyclamen, Ylang-ylang, Sándalo, Hyacinth, Lirio de los valles (muguete), Cedro de virginia, Musgo de roble"
1681,Carthusia,"Aromático, Amaderado, Fresco especiado, Atalcado, Ámbar","Tomillo rojo, Almizcle, Sándalo, Incense, Vainilla, Mandarin orange, Lavanda, Iris, Romero, Pimienta negra, Neroli, Petitgrain, Bergamota, Ámbar, Coriander, Cedro"
1697,Frapin,"Cálido especiado, Amaderado, Dulce, Ron, Ámbar","Vanille, Almizcle, Canela, Hawthorn, Ylang-ylang, Rosa, Pachulí, Jazmín, Haba tonka, Artemisia, Clavo, Cedro de virginia, Ron, Pimienta rosa, Frutas secas, Ámbar, Ládano francés"
1707 Blue,M.Micallef,"Atalcado, Amaderado, Aromático, Iris, Floral blanco, Cítrico, Terrosos, Rosas, Almizclado, Verde","Casis (grosellero negro), Bergamota, Iris, Jazmín, Rosa, Haba tonka, Sándalo, Almizcle blanco"
1707 Noir,M.Micallef,"Rosas, Oud, Ámbar, Florales, Fresco especiado","Rosa, Madera de oud, Ámbar"
1707 Or,M.Micallef,"Avainillado, Oud, Rosas, Ámbar, Atalcado, Dulce","Vainilla, Madera de oud, Rosa, Ámbar"
1707 Pink,M.Micallef,"Rosas, Florales, Cítrico","Rosa, Jazmín, Geranio, Ylang-ylang"
1725,Histoires De Parfums,"Especiado suave, Lavanda, Anís, Cítrico, Atalcado","Licorice, Vainilla, Toronja (pomelo), Almendro, Sándalo, Lavanda, Star anise, Cítricos, Bergamota, Ámbar, Cedro"
173 Candy,Michael Malul London,"Avainillado, Dulce, Afrutados, Atalcado, Ámbar","Almizcle, Rosa, Jazmín, Vainilla, Notas amaderadas, Fresia, Cítricos, Quince, Ámbar"
1740 Marquis De Sade,Histoires De Parfums,"Cuero, Herbal, Cálido especiado, Aromático, Amaderado","Resina de elemí, Immortelle, Cuero, Ládano francés, Pachulí, Artemisia, Vainilla, Cardamomo, Cedro de virginia, Abedul, Bergamota, Coriander"
1747,Galimard,"Cítrico, Amaderado, Musgoso, Aromático, Lavanda","Flores blancas, Moss, Sándalo, Lavanda, Limón (lima ácida), Bergamota, Almizcle blanco, Cedro"
17 Oud Mosaic,Banana Republic,"Oud, Rosas, Cálido especiado, Afrutados, Ámbar","Almizcle, Azafrán, Ciruela, Ámbar, Rosa turca, Cardamomo, Madera de oud, Ládano, Pimienta blanca"
18,Perry Ellis,"Afrutados, Dulce, Florales, Fresco, Acuático","Vanille, Mojito, Sándalo, Pera, Orquídea, Lirio de agua, Frambuesa"
1804,Histoires De Parfums,"Afrutados, Dulce, Cálido especiado, Tropical, Amaderado","Melocotón (durazno), Flor de tiaré, Nuez moscada, Cloves, Benjuí, Almizcle, Rosa, Pachulí, Jazmín, Vainilla, Sándalo, Lirio de los valles (muguete), Piña"
1805 Tonnerre,Beaufort London,"Ahumado, Amaderado, Aromático, Marino, Cítrico","Agua de mar, Smoke, Lime, Abeto balsámico, Brandy, Gunpowder, Ámbar, Cedro"
180 Ans De Créations 1828 2008,Guerlain,"Floral blanco, Cítrico, Avainillado, Especiado suave, Dulce, Atalcado","Vainilla, Pimienta rosa, Flor de azahar del naranjo, Jazmín, Bergamota, Toronja (pomelo)"
1826,Histoires De Parfums,"Cálido especiado, Amaderado, Ámbar, Pachulí, Atalcado","Almizcle, Canela, Flores blancas, Pachulí, Incense, Notas amaderadas, Vainilla, Violeta, Jengibre, Bergamota, Mandarina, Ámbar"
1828,Histoires De Parfums,"Amaderado, Cítrico, Fresco especiado, Aromático, Alcanforados","Nuez moscada, Eucalipto, Pimienta, Toronja (pomelo), Incense, Vetiver, Cítricos, Pino, Mandarina, Cedro"
1831 Norma Bellini,Histoires De Parfums,"Ámbar, Aldehídico, Floral amarillo, Dulce, Almizclado","Almizcle, Benjuí, Ylang-ylang, Rosa, Pachulí, Jazmín, Vainilla, Praliné, Pimienta rosa, Aldehídos, Ládano"
1831 Norma Bellini Absolu Edp,Histoires De Parfums,"Aldehídico, Ámbar, Fresco, Floral blanco, Dulce","Almizcle, Benjuí, Ylang-ylang, Rosa, Pachulí, Jazmín, Vainilla, Praliné, Pimienta rosa, Aldehídos, Ládano"
1849 Collection Iles D Or,Molinard,"Dulce, Amaderado, Nueces, Afrutados, Florales","Vanille, Almizcle, Ciruela, Jazmín, Sándalo, Fresia, Cedro de virginia, Cítricos, Notas dulces, Avellana, Ámbar"
1853 Lady,Acqua Di Genova,"Ámbar, Cítrico, Fresco especiado, Cálido especiado, Amaderado","Almizcle, Pachulí, Pimienta, Sándalo, Incense, Mandarin orange, Lavanda, Mirra, Musgo de roble, Bergamota, Ámbar"
1869,Acca Kappa,"Ozónico, Aromático, Fresco especiado, Cuero, Acuático","Cuero, Hojas de violeta, Vainilla, Iris, Cardamomo, Ámbar gris, Geranio"
1869 Eau De Parfum,Acca Kappa,"Aromático, Fresco especiado, Cálido especiado, Amaderado, Terrosos","Cuero, Hoja de laurel, Vainilla, Vetiver, Hojas de violeta, Incense, Ládano, Cardamomo, Iris, Geranio, Ámbar"
1872 Basil,Clive Christian,"Fresco especiado, Aromático, Cítrico, Verde, Herbal, Amaderado, Pachulí","Albahaca, Lima (limón verde), Bergamota, Toronja (pomelo), Pimienta negra, Petit grain, Nuez moscada, Salvia, Cempasúchil (tagete), Clavelón, Ciclamen (violeta persa), Fresia, Jazmín, Pachulí, Cedro, Ámbar gris, Almizcle, Incienso de olíbano (franquincienso)"
1872 For Men,Clive Christian,"Cítrico, Aromático, Fresco especiado, Amaderado, Verde","Cyclamen, Melocotón (durazno), Nuez moscada, Piña, Bergamota, Almizcle, Jazmín, Lime, Pimienta, Toronja (pomelo), Petitgrain, Ámbar, Mandarin orange, Lavanda, Tagetes, Romero, Galbanum, Pachulí, Olíbano, Fresia, Esclarea, Cedro de virginia, Ládano francés"
1872 For Women,Clive Christian,"Cítrico, Amaderado, Florales, Aromático, Afrutados","Limón de amalfi, Osmanto (olivo oloroso), Piña, Bergamota, Orquídea, Almizcle, Madera de gaiac, Jazmín, Musgo de roble, Violeta, Arándano, Mandarina, Lirio de los valles (muguete), Romero, Rosa, Pachulí, Sándalo, Fresia, Cedro de virginia"
1872 Leather,Clive Christian,"Aromático, Amaderado, Fresco especiado, Cítrico, Cuero, Floral blanco, Ahumado, Cálido especiado, Pachulí, Balsámico","Bergamota, Petit grain, Geranio, Lima (limón verde), Lavanda, Romero, Jazmín, Esclarea, Cedro, Cuero, Pachulí, Incienso"
1872 Mandarin,Clive Christian,"Cítrico, Aromático, Amaderado, Fresco especiado, Terrosos","Jengibre, Bergamota, Orquídea, Almizcle, Azafrán, Jazmín, Lime, Violeta, Limón (lima ácida), Nectarine, Ámbar, Moss, Vetiver, Mandarin orange, Lavanda, Lirio de los valles (muguete), Coriander, Rosa, Pachulí, Fresia, Albahaca, Cedro"
1872 Orris,Clive Christian,"Cítrico, Iris, Amaderado, Atalcado, Aromático","Almizcle, Rosa, Ciruela, Jazmín, Haba tonka, Sándalo, Toronja (pomelo), Vetiver, Incense, Mandarin orange, Iris, Flor de cerezo, Orris, Petitgrain, Bergamota, Ámbar, Magnolia"
1872 Twist Acacia,Clive Christian,"Florales, Acerezado, Amaderado, Fresco especiado, Dulce","Acácia, Cereza ácida (guinda), Fresia, Jengibre, Rosa de mayo, Cedro, Ámbar, Pachulí"
1872 Twist Bergamot,Clive Christian,"Aromático, Cítrico, Fresco especiado, Amaderado, Lavanda, Pachulí","Bergamota, Mandarina, Romero, Lavanda, Esclarea, Neroli, Pachulí"
