Perfume,Marca,Acordes,Notas
United Dreams Stay Positive,Benetton,"Cítrico, Floral blanco, Amaderado, Fresco especiado, Aromático, Atalcado, Almizclado, Verde","Bergamota, Hojas de cítrico, Flor de azahar del naranjo, Neroli, Almizcle, Cedro, Sándalo"
United Dreams Together For Her,Benetton,"Dulce, Avainillado, Afrutados, Florales, Atalcado, Rosas, Cítrico, Lactónico, Almizclado, Especiado suave","Grosella espinosa, Durazno (melocotón), Bergamota, Magnolia, Rosa, Pimienta rosa, Jazmín, Vainilla, Praliné, Almizcle, Cedro"
United Dreams Together For Him,Benetton,"Fresco especiado, Aromático, Amaderado, Cítrico, Lavanda, Herbal","Enebro de virginia, Pimienta negra, Bergamota, Naranja tangerina, Lavanda, Tomillo, Notas acuosas, Geranio, Cedro, Musgo, Ámbar, Haba tonka"
United Dreams Tonic,Benetton,"Cítrico, Afrutados, Fresco especiado, Dulce, Amaderado, Ámbar, Aromático","Bergamota, Naranja tangerina, Piña, Notas afrutadas, Pimienta, Notas amaderadas, Ámbar"
United Men Eau De Toilette,S.Oliver,"Aromático, Fresco especiado, Amaderado, Lavanda, Terrosos, Cítrico, Musgoso, Pachulí, Cálido especiado","Romero, Limón (lima ácida), Lavanda, Geranio, Pachulí, Musgo"
United Women Eau De Parfum,S.Oliver,"Floral blanco, Cítrico, Rosas, Amaderado, Fresco, Almizclado, Florales, Afrutados, Verde, Atalcado","Bergamota, Mandarina, Pera, Lirio de los valles (muguete), Jazmín, Rosa, Cedro, Almizcle, Madera de cachemira"
United Women Eau De Toilette,S.Oliver,"Floral blanco, Cítrico, Amaderado, Fresco, Almizclado, Rosas, Florales, Afrutados, Verde, Atalcado","Bergamota, Mandarina, Pera, Lirio de los valles (muguete), Jazmín, Rosa, Cedro, Almizcle, Madera de cachemira"
United Women Floral Sparkling Body Splash,S.Oliver,"Floral blanco, Fresco, Cítrico, Rosas, Amaderado, Verde, Florales, Almizclado, Afrutados","Bergamota, Mandarina, Pera, Lirio de los valles (muguete), Rosa, Jazmín, Cedro, Almizcle, Madera de cachemira"
Unity,Arcadia,"Atalcado, Amaderado, Rosas, Violeta, Ámbar, Iris, Almizclado, Afrutados, Cálido especiado, Florales","Manzana, Incienso de olíbano (franquincienso), Rosa, Violeta, Raíz de lirio, Sándalo, Almizcle"
Unity,Jealous,"Cítrico, Aromático, Verde, Fresco especiado, Amaderado, Afrutados, Florales, Atalcado, Violeta, Rosas","Limón (lima ácida), Bergamota, Menta, Grosellas negras, Violeta, Rosa, Notas amaderadas, Neroli, Vainilla"
Unity Parfum,Antony Morato,"Aromático, Marino, Amaderado, Fresco especiado, Dulce, Cítrico, Fresco, Afrutados, Salado, Avainillado","Piña, Notas ozónicas, Toronja (pomelo), Bergamota, Limón (lima ácida), Notas marinas, Abeto, Geranio, Jazmín, Tomillo, Haba tonka, Pachulí, Cedro, Almizcle, Musgo"
Universal,Sapil,"Cítrico, Amaderado, Cálido especiado, Fresco, Fresco especiado","Notas especiadas, Cítricos, Notas amaderadas"
Universal Love 墨者,Reclassified Re调香室,"Ámbar, Cálido especiado, Amaderado, Oud, Almizclado, Balsámico, Pachulí, Aromático, Fresco especiado, Dulce","Cardamomo, Resina almáciga del lentisco, Mandarina, Pachulí, Brandi, Pimienta, Jazmín, Mirra, Madera de oud, Ládano francés, Almizcle, Cedro"
Universal Oud,Zara,"Oud, Fresco especiado, Pachulí, Cálido especiado, Amaderado, Terrosos","Pimienta negra, Madera de oud, Pachulí"
Universal Supreme,Blackbird,"Atalcado, Acerezado, Dulce, Amaderado, Afrutados, Iris, Almendrado, Avainillado, Fresco especiado, Ámbar","Cereza, Fresa, Heliotropo, Iris, Cedro, Heno, Rosa, Incienso de olíbano (franquincienso), Madera de oud, Sándalo"
Universe,Edgardio Chilini,"Ron, Alcohol, Afrutados, Dulce, Amaderado, Cálido especiado","Frambuesa, Licor, Frambuesa, Ron"
Universe,Iceberg,"Ámbar, Amaderado, Atalcado, Floral blanco, Verde","Melocotón (durazno), Almizcle, Vanille, Raíz de lirio, Benjuí, Galbanum, Lirio, Rosa, Pachulí, Sándalo, Vetiver, Madreselva, Cedro de virginia, Ámbar"
Universe Earth,We Pink,"Afrutados, Floral blanco, Ozónico, Acuático, Florales, Fresco, Dulce, Tropical, Verde","Sandía, Kiwi, Madreselva, Margarita, Lirio de los valles (muguete), Orquídea, Ámbar"
Universe Júpiter,We Pink,"Florales, Dulce, Aromático, Verde, Lactónico, Atalcado","Wintergreen, Notas verdes, Orquídea, Praliné, Gardenia, Almizcle, Vainilla"
Universelle,Gloss Moderne,"Acuático, Salado, Almizclado, Afrutados, Atalcado, Fresco, Dulce, Marino, Amaderado, Terrosos","Sal de mar, Mandarina, Bergamota, Notas acuáticas, Frutas, Iris, Notas florales, Pétalos de rosa, Almizcle, Musgo de roble, Ámbar, Notas amaderadas, Cardamomo"
Universe Lua,We Pink,"Pachulí, Acerezado, Dulce, Amaderado, Avainillado, Cálido especiado, Terrosos, Florales, Balsámico, Afrutados","Cereza negra, Almendra, Pera, Peonía, Jazmín, Pachulí, Vainilla, Haba tonka, Maltol, Frambuesa"
Universe Marte,We Pink,"Acerezado, Avainillado, Ámbar, Balsámico, Amaderado, Dulce, Almendrado, Cálido especiado, Aromático","Cereza negra, Licor de cereza, Almendra amarga, Aceite de rosas, Cerezas griotte, Jazmín sambac (sampaguita), Pistacho (pistache), Haba tonka, Bálsamo del perú, Sándalo, Vainilla, Cedro, Almizcle"
Universe Of Love,Begim,"Dulce, Coco, Avainillado, Afrutados, Cítrico, Florales, Lactónico, Ámbar, Atalcado, Tropical","Naranja, Limón (lima ácida), Bergamota, Durazno (melocotón), Coco, Fresia, Haba tonka, Vainilla, Madera de oud, Ámbar, Almizcle"
